"phi","sigma_sq","tau_sq","iter"
12850.5972800342,458794.996097595,6,1
12193.77707641,484490.538387844,6,2
11810.9368865139,472398.571250667,5.93009330093723,3
10981.3008623072,470997.562627922,6.05926765980478,4
10998.5191580931,470324.835269623,6.05926765980478,5
10105.9259334823,492029.27458629,6.05926765980478,6
9948.1827970902,455121.380719514,5.93178711389595,7
10324.067053492,480924.542023077,5.89899198099517,8
10395.0074663757,480858.596311089,5.89231481401192,9
10130.1987951879,480967.931035612,5.90677724268003,10
9763.09369236935,500047.114609063,5.94567479944435,11
9012.61502963374,500001.102471472,5.95106089459745,12
8807.54637793425,463390.67003643,5.91256799647505,13
8883.34448364382,463901.894246044,5.9127267397534,14
9135.04796813195,490263.867642003,5.84769258266568,15
8758.13668252784,473783.094084999,5.81598838251928,16
8385.91587968534,507633.839106228,5.86794210194705,17
8103.04353956324,478290.850079802,5.81736244625636,18
7347.00701202588,469283.224438652,6.10407899233904,19
7262.08197125784,485993.120140134,6.10407899233904,20
6862.82028744946,492573.853459929,6.10407899233904,21
6860.37028240721,477677.428272924,6.10407899233904,22
7004.76857438994,483097.381866574,6.12093122388261,23
6732.18237672976,482611.185742557,6.08319888381999,24
6662.2748653728,503102.412807294,6.08319888381999,25
7240.1318946743,453821.80630666,6.07925272169743,26
7104.47035064288,509055.612317459,5.92113395711996,27
6800.97602207885,488848.84032631,5.92113395711996,28
6598.7086617715,485434.819852894,5.88343822622728,29
7051.40464254425,478234.148238531,5.88343822622728,30
7030.89254984461,455648.822775727,5.8294836231683,31
7273.93810328578,495655.984204078,5.8294836231683,32
6960.17559407787,479172.350582746,6.00952449454287,33
6655.74907989941,501197.001828395,6.05970696819246,34
6806.29082697739,474727.033698871,6.10514702979943,35
6602.83884130517,507844.636631978,6.10514702979943,36
6879.10779799189,473600.91441589,6.10514702979943,37
7089.76329980026,498549.450846621,6.17150709426491,38
7165.46159425958,502070.551538365,6.08157405140935,39
7200.72343425921,503964.550460888,6.068910934378,40
7006.29790633991,497228.158093175,6.09906209559968,41
7123.81842379367,476795.818514259,6.004497881151,42
7081.92742855322,487586.521859938,5.9187109563383,43
6820.49582947772,451616.304293413,6.00085801875557,44
6561.59692121186,502285.696685743,6.1901391809215,45
6533.88095334481,492703.861192505,6.30845342335423,46
6126.09049536545,471468.525914402,6.37426788680509,47
6467.02357510265,478429.360486218,6.41013698146509,48
5738.64797737756,507789.667479586,6.34117366147402,49
5970.78457901392,485073.255159305,6.54178946689792,50
6175.66462221837,480058.471316551,6.53491448524697,51
6255.3126076706,480659.105610838,6.49054227439103,52
5642.10952233967,468060.422850838,6.54723984706709,53
5492.64756775357,493260.655693796,6.937038320851,54
5692.99463605077,479120.469710396,6.7878026304651,55
5476.47386663814,489550.297788467,6.8410534009698,56
5058.49402058943,493652.562991786,6.8410534009698,57
4904.57119217544,484622.384472218,6.88627206993483,58
4910.6611092539,482233.088679022,6.88627206993483,59
4812.62044458131,460907.775405091,7.05849093444009,60
4587.7988582946,482852.519684601,7.05849093444009,61
4528.43305372918,493106.113908227,7.05849093444009,62
4397.71497693354,458916.141309703,7.05849093444009,63
4423.02756449294,471376.741019361,6.94270549084502,64
4253.0534787632,517145.527498907,6.82886660121464,65
4082.07798391467,459701.268271266,7.04808686862283,66
4128.29450644325,496691.160640587,6.87179774013992,67
4358.14142716417,471015.993366018,6.75388743029594,68
4239.74887992406,486805.752867504,6.87908886452072,69
4221.21871918546,469822.885483228,6.87908886452072,70
4216.56709888547,499349.658850407,7.00269089099614,71
4042.34051436607,459796.027658106,7.3296514751535,72
4135.66281820011,474795.50784345,7.08922173940362,73
4387.74949996383,473608.91313119,7.21686545974216,74
4347.44476456547,476583.989125709,7.49674304330622,75
4650.55999695243,468962.566167894,7.49674304330622,76
4545.90864812969,471008.274133908,7.42146417672668,77
4623.85604724492,476043.142522677,7.33152433979093,78
4525.5803576338,490669.842372338,7.4221310151491,79
4665.58621347095,485948.841413361,7.66781590789702,80
4714.15527772946,476849.680134667,7.55898134906927,81
4610.5501599833,468604.355274844,7.4353379027992,82
4931.34075774054,497421.542239079,7.73688817246416,83
5128.37895174015,520822.375171336,7.7853032682715,84
5074.93156238664,486357.425816358,7.98709321392612,85
5577.06433727731,457024.043117538,7.98328795467547,86
5153.06496243357,491739.441469971,7.98328795467547,87
5360.51311184511,483783.024968157,7.98328795467547,88
5336.38069425607,471419.315575443,7.89182551359117,89
5296.02874806501,475165.684474198,8.12512789441223,90
5022.26093698926,481392.797508661,8.21791508745899,91
4803.94584553331,475973.846972138,8.47318557543045,92
4915.42087212742,492930.361152569,8.47318557543045,93
4994.53217483367,482108.094186825,8.33191234371007,94
4938.82393227752,472747.326389603,8.55965866001983,95
